state,00,01,02,10,11,12,20,21,22
"[[0, 0, 1], [0, -1, 0], [0, 0, 0]]",-16.625,-13.5,,-35.5,,-15.625,-33.125,-37.5,-22.875
"[[0, 0, 0], [1, -1, 0], [0, 0, 0]]",-5.25,-23.875,-19.75,,,-13.75,0.25,-13.125,-32.25
"[[0, 0, 0], [0, -1, 1], [0, 0, 0]]",-30.125,-17.375,-7.375,-20.25,,,-28.0,-22.25,-4.5
"[[0, 0, 0], [0, -1, 0], [1, 0, 0]]",-25.0,-44.875,-28.375,-11.625,,-27.875,,-22.25,-15.875
"[[0, 0, 0], [0, -1, 0], [0, 1, 0]]",-30.0,-19.75,-20.0,-15.875,,-18.625,-8.625,,-14.375
"[[0, 0, 0], [0, -1, 0], [0, 0, 1]]",-24.125,-35.5,-27.25,-29.75,,-13.875,-18.75,-18.0,
"[[1, 0, 0], [0, 0, -1], [0, 0, 0]]",,-30.75,-21.5,-28.375,-18.375,,-18.5,-36.5,-25.75
"[[0, 1, 0], [0, 0, -1], [0, 0, 0]]",-6.125,,-6.75,-18.0,-6.75,,-13.5,-14.75,-28.0
"[[0, 0, 1], [0, 0, -1], [0, 0, 0]]",-8.5,-10.5,,-15.25,-7.875,,-14.125,-28.0,-15.625
"[[0, 0, 0], [1, 0, -1], [0, 0, 0]]",-1.875,-9.875,-12.625,,-10.375,,0.625,-7.125,-6.875
"[[0, 0, 0], [0, 1, -1], [0, 0, 0]]",-13.375,-25.0,-17.875,-37.625,,,-12.125,-13.375,-15.125
"[[0, 0, 0], [0, 0, -1], [1, 0, 0]]",-22.75,-29.5,-12.75,-16.75,-22.0,,,-19.125,-23.0
"[[0, 0, 0], [0, 0, -1], [0, 1, 0]]",-18.75,-23.5,-10.5,-12.375,-4.0,,-3.25,,-7.625
"[[0, 0, 0], [0, 0, -1], [0, 0, 1]]",-19.75,-48.5,-41.625,-57.0,-20.25,,-37.625,-23.5,
"[[1, 0, 0], [0, 0, 0], [-1, 0, 0]]",,-6.0,-14.125,-21.875,-14.0,-15.625,,-22.0,2.375
"[[0, 1, 0], [0, 0, 0], [-1, 0, 0]]",-4.875,,-23.0,-5.0,-4.875,-24.875,,-7.875,-12.5
"[[0, 0, 1], [0, 0, 0], [-1, 0, 0]]",-7.125,-6.625,,-21.125,-13.25,-7.125,,-13.5,-5.375
"[[0, 0, 0], [1, 0, 0], [-1, 0, 0]]",-6.5,-4.625,-15.125,,1.625,2.0,,-10.875,-15.0
"[[0, 0, 0], [0, 1, 0], [-1, 0, 0]]",-33.375,-35.375,-83.875,-49.0,,-37.375,,-26.0,-28.0
"[[0, 0, 0], [0, 0, 1], [-1, 0, 0]]",-16.0,-19.75,-15.75,-14.125,-9.625,,,-12.5,-9.875
"[[0, 0, 0], [0, 0, 0], [-1, 1, 0]]",-8.75,1.25,-10.875,-9.75,-3.125,-11.25,,,-6.5
"[[0, 0, 0], [0, 0, 0], [-1, 0, 1]]",-1.5,-9.625,-26.5,-16.5,-6.0,-10.375,,-10.375,
"[[1, 0, 0], [0, 0, 0], [0, -1, 0]]",,-16.25,-22.625,-25.0,-19.875,-45.5,-12.0,,-11.375
"[[0, 1, 0], [0, 0, 0], [0, -1, 0]]",-4.375,,-5.375,-12.875,-19.0,-7.25,-4.875,,-7.0
"[[0, 0, 1], [0, 0, 0], [0, -1, 0]]",-50.375,-64.875,,-65.0,-43.375,-46.25,-61.0,,-60.0
"[[0, 0, 0], [1, 0, 0], [0, -1, 0]]",-11.75,-29.5,-19.0,,-5.125,-13.0,-4.625,,-25.0
"[[0, 0, 0], [0, 1, 0], [0, -1, 0]]",-16.875,-34.625,-14.75,-25.0,,-24.0,-22.625,,-15.875
"[[0, 0, 0], [0, 0, 1], [0, -1, 0]]",-11.125,-22.375,-12.0,-17.5,-10.75,,-28.5,,-22.875
"[[0, 0, 0], [0, 0, 0], [1, -1, 0]]",-11.125,-37.5,-9.0,-11.75,-8.625,-17.5,,,-24.75
"[[0, 0, 0], [0, 0, 0], [0, -1, 1]]",-4.875,-15.0,-5.375,-21.875,-10.875,-8.75,-17.5,,
"[[1, 0, 0], [0, 0, 0], [0, 0, -1]]",,-5.375,-3.75,-2.625,-14.375,-15.625,-7.5,-5.375,
"[[0, 1, 0], [0, 0, 0], [0, 0, -1]]",-10.375,,-7.125,-28.875,-8.875,-12.5,-16.5,-12.625,
"[[0, 0, 1], [0, 0, 0], [0, 0, -1]]",-17.25,-24.0,,-16.0,-11.0,-19.25,-13.5,-16.0,
"[[0, 0, 0], [1, 0, 0], [0, 0, -1]]",-19.75,-20.5,-13.0,,-17.5,-10.25,-10.375,-23.0,
"[[0, 0, 0], [0, 1, 0], [0, 0, -1]]",-57.75,-34.375,-29.25,-50.5,,-35.75,-30.0,-44.875,
"[[0, 0, 0], [0, 0, 1], [0, 0, -1]]",-23.5,-10.5,-5.0,-5.875,-3.125,,-9.0,-8.125,
"[[0, 0, 0], [0, 0, 0], [1, 0, -1]]",-16.125,-13.375,-14.5,-12.5,-11.125,-22.5,,-13.875,
"[[0, 0, 0], [0, 0, 0], [0, 1, -1]]",-7.5,-4.0,-5.5,-10.375,0.875,-5.875,-14.5,,
"[[-1, 1, -1], [0, 0, 0], [0, 0, 0]]",,,,2.0,3.25,0.75,1.25,13.0,3.75
"[[-1, 1, 0], [-1, 0, 0], [0, 0, 0]]",,,1.0,,2.5,1.25,7.25,4.5,2.25
"[[-1, 1, 0], [0, -1, 0], [0, 0, 0]]",,,5.0,3.75,,3.5,5.25,0.5,15.5
"[[-1, 1, 0], [0, 0, -1], [0, 0, 0]]",,,2.25,2.0,9.75,,3.75,5.0,1.5
"[[-1, 1, 0], [0, 0, 0], [-1, 0, 0]]",,,2.0,5.0,8.5,1.0,,4.0,1.5
"[[-1, 1, 0], [0, 0, 0], [0, -1, 0]]",,,1.5,2.0,2.75,1.25,3.0,,6.0
"[[-1, 1, 0], [0, 0, 0], [0, 0, -1]]",,,0.5,1.0,4.75,0.75,1.0,8.0,
"[[-1, -1, 1], [0, 0, 0], [0, 0, 0]]",,,,2.0,7.5,13.5,7.0,1.75,2.5
"[[-1, 0, 1], [-1, 0, 0], [0, 0, 0]]",,0.5,,,12.5,2.0,4.5,1.5,6.0
"[[-1, 0, 1], [0, -1, 0], [0, 0, 0]]",,1.75,,4.75,,16.5,2.5,4.0,8.5
"[[-1, 0, 1], [0, 0, -1], [0, 0, 0]]",,1.25,,4.5,6.75,,13.0,2.75,1.75
"[[-1, 0, 1], [0, 0, 0], [-1, 0, 0]]",,0.75,,3.5,1.75,13.5,,2.25,5.5
"[[-1, 0, 1], [0, 0, 0], [0, -1, 0]]",,3.75,,4.5,13.5,8.5,10.5,,20.75
"[[-1, 0, 1], [0, 0, 0], [0, 0, -1]]",,3.5,,1.5,12.0,3.0,7.5,2.5,
"[[-1, -1, 0], [1, 0, 0], [0, 0, 0]]",,,4.75,,17.75,4.0,1.5,3.0,3.0
"[[-1, 0, -1], [1, 0, 0], [0, 0, 0]]",,3.25,,,3.0,12.5,1.25,2.5,1.25
"[[-1, 0, 0], [1, -1, 0], [0, 0, 0]]",,2.0,2.25,,,1.5,2.0,1.5,9.0
"[[-1, 0, 0], [1, 0, -1], [0, 0, 0]]",,0.75,6.25,,2.25,,1.25,2.25,2.5
"[[-1, 0, 0], [1, 0, 0], [-1, 0, 0]]",,2.75,1.5,,10.25,7.0,,1.0,2.0
"[[-1, 0, 0], [1, 0, 0], [0, -1, 0]]",,1.5,3.5,,20.25,6.0,2.75,,2.5
"[[-1, 0, 0], [1, 0, 0], [0, 0, -1]]",,1.0,1.25,,2.75,6.0,2.0,1.75,
"[[-1, -1, 0], [0, 1, 0], [0, 0, 0]]",,,15.5,13.25,,12.0,26.0,4.0,7.5
"[[-1, 0, -1], [0, 1, 0], [0, 0, 0]]",,27.5,,13.75,,44.5,10.75,19.0,6.0
"[[-1, 0, 0], [-1, 1, 0], [0, 0, 0]]",,7.25,11.5,,,5.5,41.5,17.0,7.5
"[[-1, 0, 0], [0, 1, -1], [0, 0, 0]]",,10.25,8.5,6.5,,,22.5,8.75,3.25
"[[-1, 0, 0], [0, 1, 0], [-1, 0, 0]]",,9.5,5.25,34.25,,7.5,,10.5,5.25
"[[-1, 0, 0], [0, 1, 0], [0, -1, 0]]",,6.75,13.25,10.5,,12.75,28.75,,9.0
