state,00,01,02,10,11,12,20,21,22
"[[0, 0, 0], [-1, 1, 0], [0, 0, 0]]",24.0,24.5,16.5,,,33.0,11.5,24.5,28.0
"[[0, 0, 0], [-1, 0, 1], [0, 0, 0]]",19.0,37.5,5.5,,20.5,,17.0,30.5,15.0
"[[0, 0, 0], [-1, 0, 0], [1, 0, 0]]",36.5,18.5,17.0,,17.5,32.5,,25.5,17.0
"[[0, 0, 0], [-1, 0, 0], [0, 1, 0]]",17.0,12.5,34.5,,6.0,30.0,12.5,,9.5
"[[0, 0, 0], [-1, 0, 0], [0, 0, 1]]",21.5,27.5,25.5,,14.5,21.0,26.5,31.5,
"[[1, 0, 0], [0, -1, 0], [0, 0, 0]]",,8.5,24.0,8.0,,13.0,2.5,10.5,3.0
"[[0, 1, 0], [0, -1, 0], [0, 0, 0]]",9.5,,4.0,14.0,,11.5,7.0,25.5,14.5
"[[0, 0, 1], [0, -1, 0], [0, 0, 0]]",13.0,7.0,,21.0,,9.5,18.0,16.5,11.5
"[[0, 0, 0], [1, -1, 0], [0, 0, 0]]",15.0,9.0,14.5,,,19.0,9.5,12.5,14.0
"[[0, 0, 0], [0, -1, 1], [0, 0, 0]]",9.5,8.0,4.0,17.0,,,11.0,19.5,9.5
"[[0, 0, 0], [0, -1, 0], [1, 0, 0]]",7.5,14.0,14.0,10.5,,15.0,,4.5,14.0
"[[0, 0, 0], [0, -1, 0], [0, 1, 0]]",7.5,26.0,10.5,10.0,,11.5,2.0,,3.0
"[[0, 0, 0], [0, -1, 0], [0, 0, 1]]",23.0,17.5,7.5,18.5,,6.0,10.5,7.5,
"[[1, 0, 0], [0, 0, -1], [0, 0, 0]]",,29.0,25.0,23.5,21.0,,23.0,25.0,16.5
"[[0, 1, 0], [0, 0, -1], [0, 0, 0]]",23.0,,19.0,17.5,15.5,,26.0,21.0,20.0
"[[0, 0, 1], [0, 0, -1], [0, 0, 0]]",15.5,30.5,,22.5,25.0,,12.0,19.5,34.0
"[[0, 0, 0], [1, 0, -1], [0, 0, 0]]",12.0,40.5,23.0,,15.5,,11.5,23.0,18.0
"[[0, 0, 0], [0, 1, -1], [0, 0, 0]]",21.5,26.5,28.0,48.5,,,24.5,25.5,22.5
"[[0, 0, 0], [0, 0, -1], [1, 0, 0]]",35.5,31.5,19.0,14.0,11.5,,,25.0,13.0
"[[0, 0, 0], [0, 0, -1], [0, 1, 0]]",21.5,33.5,23.5,38.0,8.5,,19.5,,18.0
"[[0, 0, 0], [0, 0, -1], [0, 0, 1]]",17.0,23.0,28.5,31.5,8.0,,9.5,17.0,
"[[1, 0, 0], [0, 0, 0], [-1, 0, 0]]",,13.5,12.5,39.0,9.0,22.5,,24.0,6.5
"[[0, 1, 0], [0, 0, 0], [-1, 0, 0]]",12.5,,10.5,8.0,7.5,23.0,,15.0,24.5
"[[0, 0, 1], [0, 0, 0], [-1, 0, 0]]",13.5,10.5,,13.0,13.5,22.5,,32.0,10.5
"[[0, 0, 0], [1, 0, 0], [-1, 0, 0]]",30.0,23.0,27.5,,9.0,15.0,,16.5,13.5
"[[0, 0, 0], [0, 1, 0], [-1, 0, 0]]",18.5,20.5,25.5,21.0,,23.0,,15.5,15.0
"[[0, 0, 0], [0, 0, 1], [-1, 0, 0]]",17.5,26.0,8.5,11.0,11.5,,,17.5,6.0
"[[0, 0, 0], [0, 0, 0], [-1, 1, 0]]",14.5,14.0,28.0,21.0,5.0,21.5,,,19.5
"[[0, 0, 0], [0, 0, 0], [-1, 0, 1]]",5.0,24.5,17.5,15.5,16.0,16.5,,29.0,
"[[1, 0, 0], [0, 0, 0], [0, -1, 0]]",,24.0,16.0,30.5,12.0,20.0,21.5,,29.0
"[[0, 1, 0], [0, 0, 0], [0, -1, 0]]",15.0,,6.0,23.0,36.0,23.0,28.5,,23.0
"[[0, 0, 1], [0, 0, 0], [0, -1, 0]]",24.5,23.5,,21.5,11.5,31.0,12.0,,15.5
"[[0, 0, 0], [1, 0, 0], [0, -1, 0]]",25.0,15.5,12.5,,10.5,33.0,14.0,,17.0
"[[0, 0, 0], [0, 1, 0], [0, -1, 0]]",22.5,33.5,14.5,26.0,,26.5,17.0,,30.0
"[[0, 0, 0], [0, 0, 1], [0, -1, 0]]",15.0,30.5,14.0,32.0,12.5,,19.0,,12.0
"[[0, 0, 0], [0, 0, 0], [1, -1, 0]]",13.0,23.5,12.5,20.0,11.5,31.0,,,30.0
"[[0, 0, 0], [0, 0, 0], [0, -1, 1]]",18.0,26.0,22.5,32.5,6.5,23.0,21.5,,
"[[1, 0, 0], [0, 0, 0], [0, 0, -1]]",,11.0,14.5,18.5,11.0,16.0,11.5,11.0,
"[[0, 1, 0], [0, 0, 0], [0, 0, -1]]",13.0,,8.0,11.0,11.0,18.5,21.5,10.5,
"[[0, 0, 1], [0, 0, 0], [0, 0, -1]]",9.5,21.5,,24.0,5.5,25.0,2.0,32.0,
"[[0, 0, 0], [1, 0, 0], [0, 0, -1]]",6.5,19.5,10.5,,11.0,16.0,7.5,18.0,
"[[0, 0, 0], [0, 1, 0], [0, 0, -1]]",26.0,28.5,3.0,23.5,,24.0,10.0,22.0,
"[[0, 0, 0], [0, 0, 1], [0, 0, -1]]",21.0,23.5,24.0,11.0,7.0,,9.5,11.0,
"[[0, 0, 0], [0, 0, 0], [1, 0, -1]]",23.0,9.0,17.5,18.0,10.5,20.5,,28.0,
"[[0, 0, 0], [0, 0, 0], [0, 1, -1]]",14.0,8.5,16.5,21.5,7.5,19.0,15.0,,
"[[-1, 1, -1], [0, 0, 0], [0, 0, 0]]",,,,-2.0,-5.0,-2.5,-0.5,-8.0,-1.0
"[[-1, 1, 0], [-1, 0, 0], [0, 0, 0]]",,,-2.5,,-7.0,-1.0,-1.5,-3.5,-2.0
"[[-1, 1, 0], [0, -1, 0], [0, 0, 0]]",,,-0.5,0.0,,-1.5,0.0,-1.0,-2.0
"[[-1, 1, 0], [0, 0, -1], [0, 0, 0]]",,,-4.0,-2.0,-9.5,,-2.5,-9.0,-2.0
"[[-1, 1, 0], [0, 0, 0], [-1, 0, 0]]",,,-1.5,-3.5,-6.0,-1.0,,-2.5,0.0
"[[-1, 1, 0], [0, 0, 0], [0, -1, 0]]",,,-1.5,-1.5,-3.0,-1.0,-2.0,,-1.0
"[[-1, 1, 0], [0, 0, 0], [0, 0, -1]]",,,-2.0,-1.5,-3.0,-1.0,-1.5,-6.0,
"[[-1, -1, 1], [0, 0, 0], [0, 0, 0]]",,,,-9.0,-18.0,-22.5,-14.5,-9.0,-13.5
"[[-1, 0, 1], [-1, 0, 0], [0, 0, 0]]",,-2.5,,,-10.0,-5.0,-5.5,-2.5,-6.5
"[[-1, 0, 1], [0, -1, 0], [0, 0, 0]]",,-1.0,,-1.0,,-3.5,-2.0,-1.5,-4.0
"[[-1, 0, 1], [0, 0, -1], [0, 0, 0]]",,-2.5,,-0.5,-5.5,,-0.5,-1.5,-3.0
"[[-1, 0, 1], [0, 0, 0], [-1, 0, 0]]",,0.0,,-0.5,-0.5,-5.0,,-1.5,-0.5
"[[-1, 0, 1], [0, 0, 0], [0, -1, 0]]",,-0.5,,-3.5,-9.0,-4.5,-6.5,,-1.5
"[[-1, 0, 1], [0, 0, 0], [0, 0, -1]]",,-1.0,,-1.5,-3.0,-2.0,-5.0,-1.5,
"[[-1, -1, 0], [1, 0, 0], [0, 0, 0]]",,,-2.5,,-8.0,-5.0,-3.0,-3.5,-2.0
"[[-1, 0, -1], [1, 0, 0], [0, 0, 0]]",,-2.5,,,-8.0,-3.5,0.0,-2.0,-0.5
"[[-1, 0, 0], [1, -1, 0], [0, 0, 0]]",,0.0,-1.0,,,-1.0,0.0,-1.5,-1.5
"[[-1, 0, 0], [1, 0, -1], [0, 0, 0]]",,-0.5,-0.5,,-1.0,,-1.0,-0.5,-1.0
"[[-1, 0, 0], [1, 0, 0], [-1, 0, 0]]",,-4.0,-4.0,,-8.0,-8.5,,-7.5,-1.5
"[[-1, 0, 0], [1, 0, 0], [0, -1, 0]]",,-1.5,-4.5,,-5.0,-6.0,-1.5,,-1.5
"[[-1, 0, 0], [1, 0, 0], [0, 0, -1]]",,-1.5,-1.5,,-3.5,-5.0,-2.0,-1.5,
"[[-1, -1, 0], [0, 1, 0], [0, 0, 0]]",,,-10.0,-7.5,,-11.0,-6.5,-2.0,-4.5
"[[-1, 0, -1], [0, 1, 0], [0, 0, 0]]",,-6.5,,-2.0,,-2.0,-2.5,-3.5,-1.5
"[[-1, 0, 0], [-1, 1, 0], [0, 0, 0]]",,-3.5,-4.5,,,-2.5,-4.0,-2.0,-2.5
"[[-1, 0, 0], [0, 1, -1], [0, 0, 0]]",,-7.5,-2.5,-1.5,,,-5.0,-3.0,-2.0
"[[-1, 0, 0], [0, 1, 0], [-1, 0, 0]]",,-6.5,-2.0,-6.5,,-4.0,,-3.0,-2.0
"[[-1, 0, 0], [0, 1, 0], [0, -1, 0]]",,-2.5,-6.0,-6.0,,-3.5,-5.5,,-2.5
"[[-1, 0, 0], [0, 1, 0], [0, 0, -1]]",,-7.0,-6.5,-6.0,,-6.0,-6.5,-6.5,
"[[-1, -1, 0], [0, 0, 1], [0, 0, 0]]",,,-8.0,-7.0,-10.0,,-3.0,-2.5,-11.0
"[[-1, 0, -1], [0, 0, 1], [0, 0, 0]]",,-2.5,,-6.5,-5.0,,-2.0,-2.0,-2.5
"[[-1, 0, 0], [-1, 0, 1], [0, 0, 0]]",,-1.0,-4.0,,-1.0,,-2.0,-1.5,-7.0
"[[-1, 0, 0], [0, -1, 1], [0, 0, 0]]",,0.0,-2.0,-0.5,,,-2.0,-1.0,-2.5
"[[-1, 0, 0], [0, 0, 1], [-1, 0, 0]]",,-1.0,-5.0,-5.5,-4.5,,,-1.0,-6.5
"[[-1, 0, 0], [0, 0, 1], [0, -1, 0]]",,-2.5,-7.0,-7.0,-10.5,,-3.0,,-3.5
"[[-1, 0, 0], [0, 0, 1], [0, 0, -1]]",,-1.5,-3.5,-5.5,-5.0,,0.0,-0.5,
"[[-1, -1, 0], [0, 0, 0], [1, 0, 0]]",,,-11.0,-3.0,-7.5,-2.5,,-9.5,-10.0
"[[-1, 0, -1], [0, 0, 0], [1, 0, 0]]",,0.0,,-0.5,-0.5,-1.0,,-2.0,-2.5
"[[-1, 0, 0], [-1, 0, 0], [1, 0, 0]]",,-5.0,-8.0,,-7.0,-5.5,,-7.0,-9.5
"[[-1, 0, 0], [0, -1, 0], [1, 0, 0]]",,0.0,-0.5,-1.0,,-0.5,,-1.0,-4.0
"[[-1, 0, 0], [0, 0, -1], [1, 0, 0]]",,-2.5,-4.5,-3.0,-6.5,,,-7.5,-6.5
"[[-1, 0, 0], [0, 0, 0], [1, -1, 0]]",,-1.0,-6.5,-1.0,-6.0,-2.0,,,-1.0
"[[-1, 0, 0], [0, 0, 0], [1, 0, -1]]",,-2.5,-9.5,-3.5,-10.5,-1.5,,-4.0,
"[[-1, -1, 0], [0, 0, 0], [0, 1, 0]]",,,-5.0,-2.0,-3.0,-2.0,-8.5,,-9.5
